Frequency,1,2,3,4
2412,17.9,17.9,17.9,17.9
2417,17.9,17.9,17.9,17.9
2422,17.9,17.9,17.9,17.9
2427,17.9,17.9,17.9,17.9
2432,17.9,17.9,17.9,17.9
2437,17.9,17.9,17.9,17.9
2442,17.9,17.9,17.9,17.9
2447,17.9,17.9,17.9,17.9
2452,17.9,17.9,17.9,17.9
2457,17.9,17.9,17.9,17.9
2462,17.9,17.9,17.9,17.9
2467,17.9,17.9,17.9,17.9
2472,17.9,17.9,17.9,17.9
5180,18.9,18.9,18.9,18.9
5260,18.9,18.9,18.9,18.9
5320,18.9,18.9,18.9,18.9
5500,18.9,18.9,18.9,18.9
5600,18.9,18.9,18.9,18.9
5700,18.9,18.9,18.9,18.9
5745,18.9,18.9,18.9,18.9
5785,18.9,18.9,18.9,18.9
5825,18.9,18.9,18.9,18.9
